topic,link,domain,published_date,title,lang
NATION,https://timesofindia.indiatimes.com/india/nepal-not-extending-full-cooperation-to-bihar-government-in-flood-management-nitish-kumar-tells-pm-modi/articleshow/77468232.cms,timesofindia.indiatimes.com,2020-08-10 16:12:00,"Nepal not extending full cooperation to Bihar government in flood management, Nitish Kumar tells PM Modi",en
TECHNOLOGY,https://www.essentiallysports.com/fall-guys-is-the-new-twitter-sensation-timthetatman-esports-news/,essentiallysports.com,2020-08-17 16:45:16,Fall Guys Is the New Twitter Sensation,en
WORLD,https://www.aljazeera.com/news/2020/08/facebook-deletes-trump-post-coronavirus-misinformation-live-200806002303163.html,aljazeera.com,2020-08-06 02:34:00,Facebook removes Trump post over coronavirus misinformation: Live,en
BUSINESS,https://www.castanet.net/news/BC/307745/3-Vancouver-flights-added-to-possible-COVID-exposure-list,castanet.net,2020-08-12 18:11:00,3 Vancouver flights added to possible COVID exposure list - BC News,en
BUSINESS,https://finance.yahoo.com/news/impossible-foods-gets-200-million-of-funding-190024706.html,finance.yahoo.com,2020-08-13 19:00:00,Impossible Foods gets $200 million of fresh funds,en
HEALTH,https://thepostmillennial.com/error/404,thepostmillennial.com,2020-08-05 16:36:39,Ontario family kicked out of Disney Store because autistic child was struggling with her face mask,en
TECHNOLOGY,https://www.nme.com/en_au/news/gaming-news/final-fantasy-vii-remake-has-sold-over-five-million-copies-since-launch-2724115,nme.com,2020-08-07 17:48:45,‘Final Fantasy VII Remake’ has sold over five million copies since launch,en
NATION,https://www.tvnz.co.nz/one-news/new-zealand/staff-auckland-paknsave-told-covid-19-case-visited-their-store,tvnz.co.nz,2020-08-16 23:17:44,Staff at Auckland Pak'nSave told Covid-19 case visited their store,en
SPORTS,https://www.express.co.uk/sport/football/1317573/Liverpool-transfer-news-Thiago-likely-Bayern-Munich-meeting,express.co.uk,2020-08-02 09:31:31,Liverpool 'very likely' to sign Thiago after star's second Bayern Munich transfer meeting,en
WORLD,https://nationalpost.com/news/world/republicans-accuse-joe-biden-for-ties-with-american-anti-fascist-group-antifa,nationalpost.com,2020-08-14 21:02:33,Trump backers accuse Joe Biden of Antifa ties after website with their name is rerouted to his,en
SPORTS,https://sportschatplace.com/mlb-picks/2020/08/14/toronto-blue-jays-vs-tampa-bay-rays-8/14/20-mlb-pick-odds-and-prediction,sportschatplace.com,2020-08-14 01:17:00,"Toronto Blue Jays vs. Tampa Bay Rays - 8/14/20 MLB Pick, Odds, and Prediction",en
NATION,https://www.channelstv.com/2020/08/16/elections-igp-orders-arrest-of-individuals-groups-with-prohibited-firearms/,channelstv.com,2020-08-16 12:58:53,"Elections: IGP Orders Arrest Of Individuals, Groups With Prohibited Firearms",en
HEALTH,https://dailyhive.com/seattle/washington-state-coronavirus-count-august-12,dailyhive.com,2020-08-13 00:13:00,Washington will not be displaying coronavirus counts for at least a week | News,en
NATION,https://www.livemint.com/news/india/india-crosses-2-million-covid-19-cases-11596729585478.html,livemint.com,2020-08-06 16:07:57,India crosses 2 million covid-19 cases,en
BUSINESS,https://www.channelnewsasia.com/news/business/china-s-catl-is-developing-new-ev-battery-with-no-nickel--cobalt--executive-says-13023902,channelnewsasia.com,2020-08-15 08:03:05,"China's CATL is developing new EV battery with no nickel, cobalt, executive says",en
WORLD,https://www.geo.tv/latest/303183-pm-imran-says-ml-1-railways-project-will-create-job-opportunities,geo.tv,2020-08-17 13:13:00,PM Imran says ML-1 railways project will create job opportunities,en
SCIENCE,https://www.702.co.za/articles/313202/what-you-need-to-know-about-tonight-s-blood-moon-eclipse,702.co.za,2020-06-11 09:12:06,What you need to know about tonight's 'Blood Moon' eclipse,en
HEALTH,https://www.prweb.com/releases/researchers_from_polyu_and_m_u_s_t_collaborate_in_the_development_of_a_recombinant_rbd_vaccine_against_sars_cov_2/prweb17299870.htm,prweb.com,2020-08-04 01:00:47,Researchers from PolyU and MUST Collaborate in the Development of a Recombinant RBD Vaccine Against SARS-CoV-2,en
WORLD,https://www.odt.co.nz/news/national/trio-killed-korea-landslide-had-dunedin-links,odt.co.nz,2020-08-05 02:35:43,Trio killed in Korea landslide had Dunedin links,en
NATION,https://www.nydailynews.com/news/national/ny-trump-calls-thailand-tailand-thighland-20200806-7niea6owfvcbhethxljwsnfdtu-story.html,nydailynews.com,2020-08-06 23:04:00,Trump bumbles another geographical name: ‘Thigh-land',en
SPORTS,https://talksport.com/football/744398/stats-highlights-goal-lazio-ciro-immobile-newcastle-saudi-owners-takeover/,talksport.com,2020-08-11 18:53:20,36-goal Lazio ace Ciro Immobile reveals Newcastle’s prospective Saudi owners approached him before takeover c,en
ENTERTAINMENT,https://www.ghgossip.com/bbnaija-why-i-dont-regret-picking-dorathy-as-deputy-hoh-ahead-of-nengi-ozo-video/,ghgossip.com,2020-08-06 21:59:00,BBNaija: Why I Don't Regret Picking Dorathy As Deputy HOH Ahead Of Nengi” – Ozo (VIDEO),en
WORLD,https://www.bbc.com/news/world-us-canada-53774289,bbc.com,2020-08-13 23:26:15,Trump stokes Kamala Harris 'birther' theory,en
TECHNOLOGY,https://www.rawstory.com/2020/08/clever-chemistry-turns-ordinary-bricks-into-electricity-storage-devices/,rawstory.com,2020-08-11 20:08:47,Clever chemistry turns ordinary bricks into electricity storage devices,en
SCIENCE,https://interestingengineering.com/human-race-has-changed-north-america-more-than-last-ice-age-say-scientists,interestingengineering.com,2020-08-17 20:38:21,The Human Race Caused More Change in North America Than the Last Ice Age,en
TECHNOLOGY,https://www.anandtech.com/show/15979/intel-alder-lake-confirmed-x86-hybrid-with-golden-cove-and-gracemont-for-2021,anandtech.com,2020-08-14 18:05:00,Intel Alder Lake: Confirmed x86 Hybrid with Golden Cove and Gracemont for 2021,en
TECHNOLOGY,https://pocketnow.com/amazfit-powerbuds-to-be-launched-for-rs-6999-93-in-india,pocketnow.com,2020-08-03 09:07:00,Amazfit PowerBuds to be launched for Rs 6999 (~$93) in India,en
HEALTH,https://www.channel3000.com/positive-percentage-of-new-covid-19-tests-rises-to-7-as-statewide-death-toll-nears-1k/,channel3000.com,2020-08-07 19:55:00,Positive percentage of new COVID-19 tests rises to 7% as statewide death toll nears 1K,en
HEALTH,https://www.eurekalert.org/pub_releases/2020-08/tnam-aea081120.php,eurekalert.org,2020-08-12 04:02:32,"Age, education, and surgical history affect hormone use after oophorectomy",en
BUSINESS,https://www.fool.com/investing/2020/08/10/iacinteractive-takes-1-billion-stake-in-mgm-resort.aspx,fool.com,2020-08-10 15:44:00,IAC/Interactive Takes a $1 Billion Stake in MGM Resorts,en
NATION,https://www.dailymail.co.uk/news/article-8631287/Drivers-rescued-cars-roads-submerged-shopping-centres-evacuated-storms-sweep-UK.html,dailymail.co.uk,2020-08-15 19:45:35,Britain faces more than a month's worth of rain today after deluge flooded roads and railways,en
SPORTS,https://supersport.com/football/premier-league/news/200806_Former_Spurs_captain_King_joins_coaching_staff,supersport.com,2020-08-06 13:49:16,Former Spurs captain King joins coaching staff,en
ENTERTAINMENT,https://www.theguardian.com/film/2020/aug/05/china-hollywood-films-damaging-impact-report,theguardian.com,2020-08-05 14:53:00,"China continues to exert damaging influence on Hollywood, report finds",en
ENTERTAINMENT,https://www.cheatsheet.com/entertainment/90-day-fiance-is-michael-using-his-mother-to-break-things-off-with-angela.html/,cheatsheet.com,2020-08-10 17:25:30,'90 Day Fiancé': Is Michael Using His Mother to Break Things Off With Angela? Fans Think So,en
HEALTH,https://www.axios.com/fauci-coronavirus-vaccine-end-of-2021-normal-f0bb2126-d304-498b-9951-f2b2989d0f8b.html,axios.com,2020-08-14 13:28:12,"Fauci believes normalcy will return by ""the end of 2021"" with coronavirus vaccine",en
ENTERTAINMENT,https://www.cnn.com/2020/08/17/us/jam-master-jay-run-dmc-murder/index.html,cnn.com,2020-08-17 19:40:00,Two men charged in long-unsolved 2002 murder of Run-DMC's Jam Master Jay,en
NATION,https://www.tvnz.co.nz/one-news/new-zealand/photos-gap-in-processes-led-auckland-property-group-advertising-tiny-studio-rent-355-week,tvnz.co.nz,2020-08-05 00:11:15,Photos: 'Gap in processes' led to Auckland property group advertising tiny 'studio' for rent at $355 a week,en
BUSINESS,https://galusaustralis.com/2020/08/844302/isobutyl-chlorocarbonate-market-2020-2026-oleon-nv-faci-s-p-a-hangzhou-dayangchem-co/,galusaustralis.com,2020-08-15 03:03:32,"Isobutyl Chlorocarbonate Market 2020-2026 Oleon NV , Faci S.p.A , Hangzhou DayangChem Co",en
TECHNOLOGY,https://www.tomsguide.com/news/sony-state-of-play-start-time-and-how-to-watch-the-ps4-games-livestream,tomsguide.com,2020-08-06 16:01:00,Sony State of Play: Start time and how to watch the PS4 games livestream,en
ENTERTAINMENT,https://www.nme.com/news/music/tom-delonge-to-shed-new-light-on-ufos-at-virtual-comic-con-panel-2724901,nme.com,2020-08-11 00:16:00,Tom DeLonge to “shed new light” on UFOs at virtual Comic Con panel,en
BUSINESS,https://www.bloomberg.com/tosv2.html?vid=&uuid=0e73b310-d715-11ea-be39-51735bea7f6a&url=L25ld3MvYXVkaW8vMjAyMC0wOC0wNC9zbWFsbC1idXNpbmVzcy1zdXJ2aXZhbC1ndWlkZS1wb2RjYXN0,bloomberg.com,2020-08-04 22:28:00,Bloomberg,en
HEALTH,https://www.clareecho.ie/increase-of-5-covid-19-cases-in-clare/,clareecho.ie,2020-08-13 17:04:00,Increase of 5 COVID-19 cases in Clare – The Clare Echo News,en
TECHNOLOGY,https://www.kitguru.net/desktop-pc/mustafa-mahmoud/falls-guys-sold-2-million-copies-on-steam-in-less-than-a-week/,kitguru.net,2020-08-11 10:21:46,Falls Guys sold 2 million copies on Steam in less than a week,en
NATION,https://www.ntv.co.ug/news/national/Large-marijuana-plantation-discovered-in-Kakiri/4522324-5609436-hnlwwa/index.html,ntv.co.ug,2020-08-15 18:43:29,Large marijuana plantation discovered in Kakiri - National,en
SPORTS,https://www.bluebirdbanter.com/2020/8/12/21365850/playing-bad-baseball-jays-lose,bluebirdbanter.com,2020-08-13 03:24:34,"Playing bad baseball, Jays lose",en
SPORTS,https://www.theguardian.com/football/2020/aug/06/a-league-fans-put-on-alert-after-fan-at-newcastle-game-returns-positive-covid-test,theguardian.com,2020-08-06 06:19:00,A-League on alert after fan at Newcastle game returns positive Covid test,en
TECHNOLOGY,https://pocketnow.com/heres-everything-samsung-is-launching-today-in-all-its-glory-before-samsung-can-launch-it,pocketnow.com,2020-08-05 02:51:00,Here's everything Samsung is launching today in all its glory - before Samsung can launch it,en
TECHNOLOGY,https://www.reporter.am/vivo-s7-5g-unveiled-with-s765g-6-44-oled-screen-64-mp-and-44-mp-cams-on-the-back-and-front/,reporter.am,2020-08-03 14:34:00,"vivo S7 5G unveiled with S765G, 6.44″ OLED screen, 64 MP and 44 MP cams on the back and front",en
SCIENCE,https://www.thequint.com/news/world/kathy-lueders-is-nasas-first-female-director-of-human-spaceflight,thequint.com,2020-06-13 06:01:07,Kathy Lueders is NASA's First Female Director of Human Spaceflight,en
HEALTH,https://www.washingtonpost.com/health/2020/08/12/targeted-treatments-are-helping-reduce-death-rates-most-common-type-lung-cancer-study-finds/,washingtonpost.com,2020-08-12 21:00:00,"Targeted treatments help reduce death rates for most common lung cancer, study finds",en
NATION,https://www.thejournal.ie/the-9-at-9-sunday-138-5171350-Aug2020/,thejournal.ie,2020-08-09 07:55:00,The 9 at 9: Sunday,en
BUSINESS,https://www.globenewswire.com/news-release/2020/08/14/2078795/0/en/Opus-One-Resources-Announces-Grant-of-Stock-Options-to-Directors.html,globenewswire.com,2020-08-14 19:14:00,Opus One Resources Announces Grant of Stock Options to Directors,en
TECHNOLOGY,https://www.rpgfan.com/2020/08/08/granblue-fantasy-relink-will-have-major-news-at-granblue-fantasy-fes-2020/,rpgfan.com,2020-08-08 16:21:55,Granblue Fantasy: Relink Will Have Major News At Granblue Fantasy Fes 2020,en
ENTERTAINMENT,https://www.comingsoon.net/movies/features/1143747-cs-soapbox-will-we-ever-see-a-live-action-darth-maul-again,comingsoon.net,2020-08-10 20:44:01,CS Soapbox: Will We Ever See A Live-Action Darth Maul Again?,en
TECHNOLOGY,https://arstechnica.com/gaming/2020/08/take-two-says-70-game-prices-arent-necessarily-a-new-next-gen-standard/,arstechnica.com,2020-08-04 15:36:00,Take-Two says its $70 game pricing will be on a “title by title basis”,en
HEALTH,https://www.news-mail.com.au/news/father-and-son-doctors-die-from-virus/4077315/,news-mail.com.au,2020-08-12 19:45:00,Father-and-son doctors die from virus,en
BUSINESS,https://www.bbc.co.uk/news/technology-53693585,bbc.co.uk,2020-08-08 04:49:47,Gigabit broadband: Rural households urged to claim upgrade cash,en
SPORTS,https://nba.nbcsports.com/2020/08/07/rumor-next-nba-season-could-begin-in-march/,nba.nbcsports.com,2020-08-07 17:30:00,Rumor: Next NBA season could begin in March,en
WORLD,https://leadership.ng/2020/08/08/pmbs-charming-gestures-to-seast-through-nigerian-army/,leadership.ng,2020-08-09 04:10:05,PMB's Charming Gestures To S'East Through Nigerian Army,en
ENTERTAINMENT,https://pagesix.com/2020/08/10/jason-derulo-appears-to-knock-will-smiths-front-teeth-out-in-golf-lesson/,pagesix.com,2020-08-10 16:51:00,Jason Derulo appears to knock Will Smith's front teeth out in golf lesson,en
BUSINESS,https://richmond.com/business/rolls-royce-to-close-prince-george-county-factory-laying-off-nearly-300-workers/article_f8f99f4d-9602-5d3b-81d9-e6212ba398f6.html,richmond.com,2020-08-15 20:40:00,"Rolls-Royce to close Prince George County factory, laying off nearly 300 workers",en
BUSINESS,https://www.bloomberg.com/tosv2.html?vid=&uuid=f2289aa0-d64b-11ea-b528-5d7ef588a961&url=L25ld3MvYXJ0aWNsZXMvMjAyMC0wOC0wNC9ob25nLWtvbmctc3RvY2tzLWp1bXAtc3VkZGVubHktd2l0aC1kZXZlbG9wZXJzLWxlYWRpbmctZ2FpbnM=,bloomberg.com,2020-08-04 08:37:00,Hong Kong Stocks Jump Suddenly With Property Developers Leading Gains,en
WORLD,https://www.tribuneindia.com/news/punjab/pak-court-allows-sikh-girl-to-go-with-her-muslim-husband-or-any-place-of-her-choice-126019,m.tribuneindia.com,2020-08-13 11:58:25,Pak court allows Sikh girl to go with her Muslim husband or any place of her choice,en
ENTERTAINMENT,https://www.etonline.com/joey-king-shoots-down-jacob-elordis-claim-that-he-didnt-watch-the-kissing-booth-2-150958,etonline.com,2020-08-07 02:18:53,Joey King Shoots Down Jacob Elordi's Claim That He Didn't Watch 'The Kissing Booth 2',en
BUSINESS,https://www.ctvnews.ca/politics/canada-was-taking-advantage-of-us-trump-says-in-imposing-new-aluminum-tariff-1.5054066,ctvnews.ca,2020-08-06 19:34:00,Trump to impose 10 per cent tariff on Canadian aluminum,en
NATION,https://www.washingtonpost.com/nation/2020/08/10/trump-mount-rushmore-noem/,washingtonpost.com,2020-08-10 07:52:00,"Trump denies that White House asked about adding him to Mount Rushmore, but adds it ‘sounds like a good idea!’",en
HEALTH,https://www.express.co.uk/news/uk/1322248/coronavirus-latest-news-covid19-uk-cases-uk-death-toll-boris-johnson,express.co.uk,2020-08-13 06:33:00,Coronavirus map LIVE: UK second wave panic after grim update - as TRUE death toll exposed,en
SPORTS,https://www.news24.com/sport/soccer/psl/cole-alexander-scores-late-as-bidvest-wits-deny-kaizer-chiefs-20200812,news24.com,2020-08-12 18:02:09,Cole Alexander scores late as Bidvest Wits deny Kaizer Chiefs,en
WORLD,https://www.theguardian.com/world/2020/aug/10/its-outrageous-belarus-election-result-sparks-night-of-defiance-and-violence,theguardian.com,2020-08-10 13:28:00,'It's outrageous': Belarus election result sparks night of defiance and violence,en
SPORTS,https://dailypost.ng/2020/08/15/transfer-messi-speaks-on-playing-alongside-ronaldo-at-barcelona/,dailypost.ng,2020-08-15 17:37:04,Transfer: Messi speaks on playing alongside Ronaldo at Barcelona,en
HEALTH,https://www.eurekalert.org/pub_releases/2020-08/ats-npg081320.php,eurekalert.org,2020-08-17 12:01:46,New practice guidelines on non-invasive ventilation in chronic stable Hypercapnic COPD,en
ENTERTAINMENT,https://celebrity.nine.com.au/latest/stevie-nicks-coronavirus-message-wear-a-mask/de37714e-6806-4efc-b465-ac00f37b949b,celebrity.nine.com.au,2020-08-12 22:27:00,Stevie Nicks urges fans to wear a mask and fears if she contracts COVID-19 she'll never sing again,en
TECHNOLOGY,https://www.digitaltrends.com/gaming/fall-guys-steam-switch-server-issues/,digitaltrends.com,2020-08-09 00:25:00,"Fall Guys shoots up Steam, Twitch popularity rankings despite server issues",en
BUSINESS,https://www.aeresearch.net/modular-connectors-market-272333,aeresearch.net,2020-08-13 16:13:19,Modular Connectors Market analysis with Leading Key Players and Regional Analys,en
NATION,https://www.enca.com/news/mkhwebane-takes-parliament-court-bid-stop-her-removal,enca.com,2020-08-12 05:06:31,Mkhwebane takes Parliament to court in bid to stop her removal,en
NATION,https://www.peacefmonline.com/pages/politics/politics/202008/423196.php,peacefmonline.com,2020-08-12 00:08:36,Kofi Akpaloo's LPG Promises Benefits To Unemployed Adults,en
BUSINESS,https://primefeed.in/market-reports/4437998/content-moderation-solutions-market-by-covid-19-impact-analysis-size-regional-growth-major-key-players-technology-and-industry-trends-till-2026/,primefeed.in,2020-08-16 05:00:00,"Content Moderation Solutions Market By Covid-19 Impact Analysis, Size, Regional Growth, Major Key Players, Technology and Industry Trends till 2026",en
NATION,https://www.peacefmonline.com/pages/business/finance/202008/423418.php,peacefmonline.com,2020-08-13 11:44:21,"Thanks To Mobile Money Interoperability, About 15 Million Ghanaians Have Bank Accounts - Bawumia",en
TECHNOLOGY,https://www.indiatoday.in/technology/news/story/whatsapp-for-ios-gets-messenger-rooms-integration-here-is-how-to-use-it-1709575-2020-08-10,indiatoday.in,2020-08-10 04:10:47,WhatsApp for iOS gets Messenger Rooms integration: Here is how to use it,en
SPORTS,https://www.gpfans.com/en/articles/55404/another-difficult-day-for-ferrari-at-silverstone-qualifying/,gpfans.com,2020-08-08 19:33:05,Another difficult day for Ferrari at Silverstone qualifying,en
HEALTH,https://www.citynews1130.com/2020/08/13/vancouvers-celebrities-closes-voluntarity-amid-b-c-spike-in-covid-19-cases/,citynews1130.com,2020-08-13 19:22:54,Vancouver’s Celebrities Nightclub closes voluntarily amid B.C. spike in COVID-19 cases,en
WORLD,https://www.timeslive.co.za/sunday-times/opinion-and-analysis/2020-08-09-my-daily-struggle-is-to-search-for-food-a-day-of-fasting-for-the-land-of-famine/,timeslive.co.za,2020-08-08 22:00:00,'My daily struggle is to search for food': A day of fasting for the land of famine,en
TECHNOLOGY,https://sg.channelasia.tech/author/2147449490/susan-morrow/articles,sg.channelasia.tech,2020-08-06 21:53:10,Susan Morrow - Author,en
NATION,https://tribune.com.pk/story/2259896/remittances-reach-highest-ever-in-one-month-pm-imran,tribune.com.pk,2020-08-17 07:53:21,Remittances reach highest ever in one month: PM Imran,en
SPORTS,https://www.sportsnet.ca/hockey/nhl/phase-2-2020-nhl-draft-lottery-held-monday/,sportsnet.ca,2020-08-06 15:18:00,Phase 2 of 2020 NHL Draft Lottery to be held Monday,en
WORLD,https://www.ntv.co.ug/news/international/President-Kenyatta-says-Kenya-ready-again-for-visitors/4522060-5606228-r4pk5y/index.html,ntv.co.ug,2020-08-08 15:58:59,President Kenyatta says Kenya ready again for visitors - International,en
WORLD,https://www.naijanews.com/2020/08/06/two-pilot-killed-as-light-aircraft-crashes/,naijanews.com,2020-08-06 12:47:52,Two Pilot Killed As Light Aircraft Crashes,en
NATION,https://www.nation.co.ke/kenya/news/politics/mudavadi-south-rift-leaders-decry-intimidation-after-senators-arrested-1920246,nation.co.ke,2020-08-17 15:42:22,"Mudavadi, South Rift leaders decry intimidation after senators arrested",en
WORLD,https://www.abc.net.au/news/2020-08-07/former-spanish-king-juan-carlos-reportedly-in-abu-dhabi/12536986,abc.net.au,2020-08-07 13:57:00,"Former Spanish king Juan Carlos travels to Abu Dhabi amid financial scandal, newspaper reports",en
WORLD,https://www.nst.com.my/news/nation/2020/08/614561/point-thermometer-forehead-not-wrist-says-dr-noor-hisham,nst.com.my,2020-08-06 13:03:00,"Point thermometer at forehead, not wrist, says Dr Noor Hisham",en
TECHNOLOGY,https://au.finance.yahoo.com/news/record-video-game-spending-us-q2-2020-163834813.html,au.finance.yahoo.com,2020-08-10 16:38:00,People are still spending record amounts on gaming in the US this year,en
ENTERTAINMENT,https://pagesix.com/2020/08/14/jennifer-lopez-and-alex-rodriguez-buy-40m-miami-home/,pagesix.com,2020-08-14 15:21:00,Jennifer Lopez and Alex Rodriguez buy $40M Miami home,en
BUSINESS,https://i.stuff.co.nz/life-style/food-to-love/122387843/countdown-ditches-artificial-colours-and-flavours-in-its-baking,i.stuff.co.nz,2020-08-08 17:00:00,Countdown ditches artificial colours and flavours in its baking,en
TECHNOLOGY,https://www.techrepublic.com/article/linux-vs-windows-its-a-matter-of-perspective/,techrepublic.com,2020-08-13 16:58:10,Linux vs. Windows: It's a matter of perspective,en
TECHNOLOGY,https://www.zdnet.com/article/cisco-alert-four-high-severity-flaws-in-routers-switches-and-anyconnect-vpn-for-windows/,zdnet.com,2020-08-06 13:05:00,"Cisco alert: Four high-severity flaws in routers, switches and AnyConnect VPN for Windows",en
WORLD,https://www.livemint.com/science/health/russia-s-coronavirus-vaccine-launch-raises-risks-in-dash-for-covid-shots-11597553618962.html,livemint.com,2020-08-16 06:47:54,Russia’s coronavirus vaccine launch raises risks in dash for covid shots,en
NATION,https://www.forbes.com/sites/zackfriedman/2020/08/09/stimulus-check-payment/,forbes.com,2020-08-09 20:22:00,Why You Got A $500 Stimulus Check This Week,en
TECHNOLOGY,https://uk.style.yahoo.com/facebook-tests-tiktok-style-video-160839187.html,uk.style.yahoo.com,2020-08-14 16:08:00,Facebook tests TikTok-style video format on its main app in India,en
TECHNOLOGY,https://www.techspot.com/news/86330-huawei-24-core-kunpeng-desktop-cpu-faster-than.html,techspot.com,2020-08-11 19:40:00,Huawei's 24-core Kunpeng desktop CPU said to be faster than Intel's Core i9-9900K,en
BUSINESS,https://www.zawya.com/mena/en/business/story/Sheraa_CEVentures_grant_190000_to_11_startups-SNG_181669956/,zawya.com,2020-08-09 11:40:13,"Sheraa, CE-Ventures grant $190,000 to 11 startups",en
SCIENCE,https://www.nature.com/articles/d41586-020-02264-x,nature.com,2020-08-12 15:04:53,Catching plague locusts with their own scent,en
TECHNOLOGY,https://micky.com.au/animal-crossing-features-realistic-skin-colors-in-gillette-lookbook/,micky.com.au,2020-08-14 09:39:00,‘Animal Crossing’ features realistic skin colors in Gillette lookbook,en
TECHNOLOGY,https://www.theverge.com/2020/8/9/21360683/apple-super-healthy-kids-prepear-pear-logo,theverge.com,2020-08-09 16:26:49,Apple wants this recipe app to stop using a pear in its logo,en
BUSINESS,https://finance.yahoo.com/news/citi-900-million-blunder-raises-001242255.html,finance.yahoo.com,2020-08-15 00:37:42,Citi’s $900 Million ‘Clerical Error’ Is Worst Wall Street Bungle in a Long Time,en
TECHNOLOGY,https://www.techrepublic.com/article/google-and-amazon-most-impersonated-brands-in-phishing-attacks/,techrepublic.com,2020-08-04 17:27:31,Google and Amazon most impersonated brands in phishing attacks,en
WORLD,https://www.nytimes.com/2020/08/13/us/politics/harris-biden-takeaways.html,nytimes.com,2020-08-13 14:10:00,5 Takeaways From Kamala Harris’s First Full Day on the Biden Ticket,en
BUSINESS,https://www.moneycontrol.com/news/business/sameer-gehlaut-steps-down-as-executive-chairman-of-indiabulls-housing-5691421.html,moneycontrol.com,2020-08-12 12:36:00,"Indiabulls Housing: Sameer Gehlaut steps down as executive chairman, RBI deputy governor SS Mundra appointed non-executive chairman",en
NATION,https://timesofindia.indiatimes.com/india/cant-mediate-in-india-pak-water-dispute-world-bank/articleshow/77437763.cms,timesofindia.indiatimes.com,2020-08-08 17:54:00,World Bank refuses to mediate on water dispute between India & Pak,en
BUSINESS,https://www.fool.com/earnings/call-transcripts/2020/08/03/rambus-rmbs-q2-2020-earnings-call-transcript.aspx,fool.com,2020-08-04 03:00:49,Rambus (RMBS) Q2 2020 Earnings Call Transcript,en
NATION,https://www.ippmedia.com/en/features/ggmlgeita-town-council-92bn-contract-improve-people%E2%80%99s-livehood,ippmedia.com,2020-08-13 05:49:19,"GGML,Geita Town Council in 9.2bn contract to improve people's livehood",en
WORLD,https://www.thejournal.ie/marge-simpson-kamala-harris-5176322-Aug2020/,thejournal.ie,2020-08-14 21:45:00,'A little disrespected': Marge Simpson responds after Kamala Harris comparison,en
HEALTH,https://www.abc.net.au/news/2020-08-13/four-generations-of-one-family-united-despite-coronavirus/12553292,abc.net.au,2020-08-13 03:48:00,How baby Madeleine was united with her 100yo great-grandmother despite coronavirus,en
TECHNOLOGY,https://www.essentiallysports.com/fortnite-how-to-win-the-raise-the-cup-emote-liverpool-esports-news/,essentiallysports.com,2020-08-16 17:44:44,Fortnite: How to Win the ‘Raise the Cup’ Emote,en
